Restaurant Name,Rating,Cuisine,Average Price,Average Delivery Time,Safety Measure,Location
Campus Bakers,4.3,"Bakery, Fast Food, Pizza, Sandwich, Burger",₹50 for one,36 min,Restaurant partner follows WHO protocol,Agra
Mama Chicken Mama Franky House,4,"North Indian, Mughlai, Rolls, Burger, Momos",₹50 for one,22 min,Follows all Max Safety measures to ensure your food is safe,Agra
GMB - Gopika Sweets & Restaurant,4.2,"North Indian, South Indian, Chinese, Fast Food, Street Food",₹50 for one,27 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food, South Indian, Chinese, Ice Cream, Desserts, Beverages",₹50 for one,28 min,Restaurant partner follows WHO protocol,Agra
Burger King,4.2,"Burger, Fast Food, Beverages",₹50 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Agra
Star Ultimate Pizza,4.1,"Fast Food, Pasta, Beverages",₹50 for one,31 min,Restaurant partner follows WHO protocol,Agra
Goverdhan Bakery,3.9,"Bakery, Fast Food, Desserts",₹50 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Manoj Restaurant,4.1,"South Indian, Chinese, North Indian",₹50 for one,21 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bikanervala,4.1,"Street Food, North Indian, Chinese, Mithai, South Indian, Fast Food, Desserts, Beverages",₹50 for one,31 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cake Wala,3.9,Bakery,₹50 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhagat Halwai,4.2,"Street Food, Fast Food, Pizza, Sandwich, Chinese, South Indian, Shake, Beverages",₹50 for one,27 min,Restaurant partner follows WHO protocol,Agra
Kings Pizza And Burger,3.9,"Pizza, Fast Food",₹50 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Agra
Cake House,3.4,"Bakery, Fast Food, Beverages",₹100 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhagat Halwai,4.1,"North Indian, South Indian, Street Food, Fast Food, Beverages",₹100 for one,28 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhagat Halwai,4,"Fast Food, Chinese, South Indian, Street Food, Mithai, Desserts, Bakery, Beverages",₹100 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shiv Bhojnalaya,3.6,North Indian,₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Kwality Wall’s Frozen Dessert And Ice Cream Shop,4.3,"Ice Cream, Desserts",₹100 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Laziz Pizza,4.1,"Pizza, Burger, Fast Food",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sardar Ji Da Dhaba,3.6,North Indian,₹100 for one,32 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pushpak Misthan Bhandar and Sweet,4.2,"Mithai, Street Food",₹100 for one,26 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shree Bankey Bihari Misthan Bhandar,4.2,"Mithai, Street Food",₹100 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shri Tirupati No.1 Family Restaurant,3.8,"North Indian, South Indian, Fast Food",₹100 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Pizza Cave,4.1,"Pizza, Fast Food, Ice Cream, Beverages",₹100 for one,38 min,Restaurant partner follows WHO protocol,Agra
Little N Chef,3.5,"Chinese, North Indian, Fast Food, Momos, Pizza, Sandwich",₹100 for one,36 min,Follows all Max Safety measures to ensure your food is safe,Agra
Big Crust,3.8,"Pizza, Pasta, Shake, Desserts, Fast Food",₹150 for one,43 min,Follows all Max Safety measures to ensure your food is safe,Agra
Shan E Hind,3.8,"North Indian, Rolls, Biryani",₹150 for one,25 min,Follows all Max Safety measures to ensure your food is safe,Agra
KFC,4.1,"Burger, Fast Food, Biryani, Desserts, Beverages",₹150 for one,21 min,Restaurant partner follows WHO protocol,Agra
Chimmanlal Puri Wale,4,"North Indian, Street Food, Mithai",₹150 for one,19 min,Follows all Max Safety measures to ensure your food is safe,Agra
The Big Bun,4.2,"Fast Food, Burger, Desserts, Bakery",₹150 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ravi Patties & Mocktail Point,3.9,Street Food,₹150 for one,41 min,Follows all Max Safety measures to ensure your food is safe,Agra
Ambey Bakers,3.8,"Bakery, Fast Food, Desserts",₹150 for one,33 min,Follows all Max Safety measures to ensure your food is safe,Agra
Kushwah Lassi Corner,4.3,Beverages,₹150 for one,37 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sattolala Food Court,4,"North Indian, Mithai, Fast Food",₹150 for one,30 min,Follows all Max Safety measures to ensure your food is safe,Agra
Aahar,4.2,"North Indian, South Indian, Chinese, Bakery, Continental, Desserts, Beverages",₹150 for one,35 min,Follows all Max Safety measures to ensure your food is safe,Agra
Bhawna Sweets,3.8,"Mithai, Desserts, Bakery",₹150 for one,24 min,Follows all Max Safety measures to ensure your food is safe,Agra
Sathvik Padukone South Indian Dosa Corner,4.1,South Indian,₹150 for one,22 min,Follows all Max Safety measures to ensure your food is safe,Agra
Brijbhog Mishthan Bhandar - Brij Rasayanam,4.3,"Mithai, Street Food, Fast Food, Beverages, Cafe, North Indian, Chinese",₹150 for one,29 min,Follows all Max Safety measures to ensure your food is safe,Agra
Brijbhog Misthan Bhandar,4.4,"Mithai, Street Food",₹150 for one,23 min,Follows all Max Safety measures to ensure your food is safe,Agra
Gopaldas Pethe Wale,4.4,"Mithai, Street Food",₹150 for one,18 min,Follows all Max Safety measures to ensure your food is safe,Agra
Yadav Dhaba Purana,3.9,North Indian,₹150 for one,34 min,Follows all Max Safety measures to ensure your food is safe,Agra
